id,country_id:id,name,code,zipcode,state_id:id
state_co_201,base.co,MEDELLÍN,05001,050032,base.state_co_01
state_co_202,base.co,ABEJORRAL,05002,055030,base.state_co_01
state_co_203,base.co,ABRIAQUÍ,05004,057467,base.state_co_01
state_co_204,base.co,ALEJANDRÍA,05021,053820,base.state_co_01
state_co_205,base.co,AMAGÁ,05030,055840,base.state_co_01
state_co_206,base.co,AMALFI,05031,052848,base.state_co_01
state_co_207,base.co,ANDES,05034,056067,base.state_co_01
state_co_208,base.co,ANGELÓPOLIS,05036,055837,base.state_co_01
state_co_209,base.co,ANGOSTURA,05038,051818,base.state_co_01
state_co_210,base.co,ANORÍ,05040,052850,base.state_co_01
state_co_211,base.co,SANTAFÉ DE ANTIOQUIA,05042,057050,base.state_co_01
state_co_212,base.co,ANZA,05044,056850,base.state_co_01
state_co_213,base.co,APARTADÓ,05045,057840,base.state_co_01
state_co_214,base.co,ARBOLETES,05051,057829,base.state_co_01
state_co_215,base.co,ARGELIA,05055,054838,base.state_co_01
state_co_216,base.co,ARMENIA,05059,055867,base.state_co_01
state_co_217,base.co,BARBOSA,05079,051020,base.state_co_01
state_co_218,base.co,BELMIRA,05086,051427,base.state_co_01
state_co_219,base.co,BELLO,05088,051054,base.state_co_01
state_co_220,base.co,BETANIA,05091,056077,base.state_co_01
state_co_221,base.co,BETULIA,05093,056860,base.state_co_01
state_co_222,base.co,CIUDAD BOLÍVAR,05101,056467,base.state_co_01
state_co_223,base.co,BRICEÑO,05107,052060,base.state_co_01
state_co_224,base.co,BURITICÁ,05113,057030,base.state_co_01
state_co_225,base.co,CÁCERES,05120,052458,base.state_co_01
state_co_226,base.co,CAICEDO,05125,056847,base.state_co_01
state_co_227,base.co,CALDAS,05129,055440,base.state_co_01
state_co_228,base.co,CAMPAMENTO,05134,052020,base.state_co_01
state_co_229,base.co,CAÑASGORDAS,05138,057067,base.state_co_01
state_co_230,base.co,CARACOLÍ,05142,053457,base.state_co_01
state_co_231,base.co,CARAMANTA,05145,056040,base.state_co_01
state_co_232,base.co,CAREPA,05147,057857,base.state_co_01
state_co_233,base.co,EL CARMEN DE VIBORAL,05148,054038,base.state_co_01
state_co_234,base.co,CAROLINA,05150,051847,base.state_co_01
state_co_235,base.co,CAUCASIA,05154,052418,base.state_co_01
state_co_236,base.co,CHIGORODÓ,05172,057418,base.state_co_01
state_co_237,base.co,CISNEROS,05190,053050,base.state_co_01
state_co_238,base.co,COCORNÁ,05197,054448,base.state_co_01
state_co_239,base.co,CONCEPCIÓN,05206,053810,base.state_co_01
state_co_240,base.co,CONCORDIA,05209,056417,base.state_co_01
state_co_241,base.co,COPACABANA,05212,051048,base.state_co_01
state_co_242,base.co,DABEIBA,05234,057438,base.state_co_01
